epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.94178,1.16532,2.84945,1.63861,0.00333,1,0.25591,0.21222,0.4725,2.86991,1.11853,4e-05,4e-05,4e-05
2,3.88582,1.03089,2.54909,1.45493,0.00333,1,0.66333,0.49742,0.52013,2.87567,1.13943,9.901e-05,9.901e-05,9.901e-05
3,4.80687,0.90051,2.29273,1.306,0.00333,1,0.82833,0.58821,0.57346,2.93957,1.20804,0.000156832,0.000156832,0.000156832
4,5.66834,1.12698,2.56433,1.54005,0.00333,1,0.995,0.69609,0.5143,2.9277,1.18599,0.000213466,0.000213466,0.000213466
5,6.52444,0.8434,2.26045,1.40219,0.00333,1,0.995,0.69609,0.5143,2.9277,1.18599,0.000268912,0.000268912,0.000268912
6,7.40046,0.69021,1.93782,1.10334,0.00333,1,0.995,0.6965,0.48808,2.88051,1.21916,0.00032317,0.00032317,0.00032317
7,8.28581,0.8735,1.80521,1.26748,0.00333,1,0.995,0.6965,0.48808,2.88051,1.21916,0.00037624,0.00037624,0.00037624
8,9.14967,0.68663,1.72998,1.1617,0.00333,1,0.995,0.6965,0.48808,2.88051,1.21916,0.000428122,0.000428122,0.000428122
9,10.0525,0.95455,1.66306,1.24181,0.00333,1,0.995,0.6965,0.45907,2.59752,0.99288,0.000478816,0.000478816,0.000478816
10,10.9369,0.96069,1.48047,1.28763,0.00333,1,0.995,0.6965,0.45907,2.59752,0.99288,0.000528322,0.000528322,0.000528322
11,11.7806,0.6833,1.36831,1.09852,0.00333,1,0.995,0.6965,0.45907,2.59752,0.99288,0.00057664,0.00057664,0.00057664
12,12.7231,0.73691,1.43687,1.07761,0.00333,1,0.995,0.6965,0.45907,2.59752,0.99288,0.00062377,0.00062377,0.00062377
13,13.6309,0.88,1.50462,1.33072,0.58845,1,0.995,0.72129,0.51097,2.28041,1.03196,0.000669712,0.000669712,0.000669712
14,14.4642,0.8407,1.30851,1.23609,0.58845,1,0.995,0.72129,0.51097,2.28041,1.03196,0.000714466,0.000714466,0.000714466
15,15.3006,0.8333,1.32316,1.19004,0.58845,1,0.995,0.72129,0.51097,2.28041,1.03196,0.000758032,0.000758032,0.000758032
16,16.1338,0.87167,1.63998,1.34136,0.58845,1,0.995,0.72129,0.51097,2.28041,1.03196,0.00080041,0.00080041,0.00080041
17,17.0171,1.07639,1.43185,1.4026,0.58845,1,0.995,0.72129,0.51097,2.28041,1.03196,0.0008416,0.0008416,0.0008416
18,17.9309,1.0104,1.57197,1.29459,0.26314,1,0.995,0.8955,0.59274,2.45293,1.04551,0.000881602,0.000881602,0.000881602
19,18.8393,0.88386,1.13121,1.19476,0.26314,1,0.995,0.8955,0.59274,2.45293,1.04551,0.000920416,0.000920416,0.000920416
20,19.7172,0.61458,0.98921,0.97979,0.26314,1,0.995,0.8955,0.59274,2.45293,1.04551,0.000958042,0.000958042,0.000958042
21,20.5682,0.88113,1.35281,1.35484,0.26314,1,0.995,0.8955,0.59274,2.45293,1.04551,0.00099448,0.00099448,0.00099448
22,21.4171,0.88237,1.56616,1.37834,0.26314,1,0.995,0.8955,0.59274,2.45293,1.04551,0.00102973,0.00102973,0.00102973
23,22.2888,0.8624,1.28352,1.28563,0.26314,1,0.995,0.8955,0.59274,2.45293,1.04551,0.00106379,0.00106379,0.00106379
24,23.2661,0.9244,2.12605,1.33078,0.26314,1,0.995,0.8955,0.59274,2.45293,1.04551,0.00109667,0.00109667,0.00109667
25,24.1662,0.98117,1.11302,1.21254,0.26314,1,0.995,0.8955,0.59274,2.45293,1.04551,0.00112835,0.00112835,0.00112835
26,25.0869,0.66657,1.255,1.09572,0.26314,1,0.995,0.8955,0.59274,2.45293,1.04551,0.00115885,0.00115885,0.00115885
27,25.9546,1.13235,1.42599,1.51162,0.66655,1,0.995,0.72129,0.92099,2.23625,1.58526,0.00118816,0.00118816,0.00118816
28,26.8398,0.87253,1.15838,1.26649,0.66655,1,0.995,0.72129,0.92099,2.23625,1.58526,0.00121628,0.00121628,0.00121628
29,27.7139,1.07091,1.34892,1.44029,0.66655,1,0.995,0.72129,0.92099,2.23625,1.58526,0.00124322,0.00124322,0.00124322
30,28.5722,1.1334,1.6061,1.42653,0.66655,1,0.995,0.72129,0.92099,2.23625,1.58526,0.00126896,0.00126896,0.00126896
31,29.4264,0.94084,1.23847,1.23807,0.66655,1,0.995,0.72129,0.92099,2.23625,1.58526,0.00129352,0.00129352,0.00129352
32,30.3321,1.03644,1.1389,1.32124,0.66655,1,0.995,0.72129,0.92099,2.23625,1.58526,0.00131689,0.00131689,0.00131689
33,31.2681,0.90875,1.30336,1.23771,0.66655,1,0.995,0.72129,0.92099,2.23625,1.58526,0.00133907,0.00133907,0.00133907
34,32.1329,0.88118,1.44678,1.3224,0.66655,1,0.995,0.72129,0.92099,2.23625,1.58526,0.0013466,0.0013466,0.0013466
35,33.0127,0.90903,1.27467,1.18545,0.66655,1,0.995,0.72129,0.92099,2.23625,1.58526,0.0013268,0.0013268,0.0013268
36,34.04,0.82654,1.10472,1.19136,0.66655,1,0.995,0.72129,0.92099,2.23625,1.58526,0.001307,0.001307,0.001307
37,35.1288,1.13447,1.21218,1.42677,0.79766,1,0.995,0.8955,0.44616,2.14056,1.01345,0.0012872,0.0012872,0.0012872
38,36.2022,0.93562,1.33321,1.17551,0.79766,1,0.995,0.8955,0.44616,2.14056,1.01345,0.0012674,0.0012674,0.0012674
39,37.2753,0.79285,1.31832,1.31584,0.79766,1,0.995,0.8955,0.44616,2.14056,1.01345,0.0012476,0.0012476,0.0012476
40,38.3638,0.73959,1.16203,1.0853,0.79766,1,0.995,0.8955,0.44616,2.14056,1.01345,0.0012278,0.0012278,0.0012278
41,39.4233,0.80655,1.07016,1.14644,0.79766,1,0.995,0.8955,0.44616,2.14056,1.01345,0.001208,0.001208,0.001208
42,40.5517,0.96159,1.1283,1.22958,0.79766,1,0.995,0.8955,0.44616,2.14056,1.01345,0.0011882,0.0011882,0.0011882
43,41.691,0.99639,1.35985,1.36437,0.79766,1,0.995,0.8955,0.44616,2.14056,1.01345,0.0011684,0.0011684,0.0011684
